                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                 1.2148,                0.68327,                 1.0659,                0.86663,                0.73529,                0.82441,                0.50418,                 1.1486,                0.55411,                 1.0562,              0.0067577,              0.0067577,              0.0067577
                    133,                 1.2232,                0.68899,                 1.0694,                0.86462,                0.73946,                0.82765,                 0.5035,                 1.1507,                0.54613,                 1.0642,               0.006733,               0.006733,               0.006733
                    134,                  1.233,                0.68272,                 1.0682,                0.85717,                0.73529,                0.82615,                0.50462,                 1.1487,                0.54549,                 1.0633,              0.0067082,              0.0067082,              0.0067082
                    135,                 1.2241,                0.69155,                  1.066,                0.85529,                0.73535,                0.82529,                 0.5043,                 1.1479,                0.54948,                 1.0638,              0.0066835,              0.0066835,              0.0066835
                    136,                 1.2297,                0.69397,                 1.0628,                0.86187,                0.73529,                0.82572,                 0.5062,                 1.1467,                0.54664,                 1.0626,              0.0066587,              0.0066587,              0.0066587
                    137,                 1.2159,                0.68425,                 1.0613,                0.86145,                0.73529,                0.82579,                0.50275,                 1.1487,                0.54659,                 1.0621,               0.006634,               0.006634,               0.006634
                    138,                 1.2218,                0.68215,                 1.0661,                0.86006,                0.73831,                0.82618,                0.50455,                 1.1478,                0.54658,                 1.0651,              0.0066092,              0.0066092,              0.0066092
                    139,                 1.2144,                0.67552,                 1.0647,                0.85732,                0.74024,                0.82546,                0.50562,                 1.1477,                0.54839,                 1.0654,              0.0065845,              0.0065845,              0.0065845
                    140,                 1.2188,                0.68001,                 1.0623,                0.85822,                0.73996,                0.82449,                0.50659,                 1.1488,                0.55048,                 1.0679,              0.0065598,              0.0065598,              0.0065598
                    141,                 1.2085,                0.66943,                 1.0569,                 0.8587,                0.73998,                0.82803,                0.50634,                 1.1502,                0.54745,                 1.0672,               0.006535,               0.006535,               0.006535
                    142,                 1.1998,                0.66795,                 1.0667,                0.86813,                0.73529,                0.82758,                0.50575,                 1.1518,                0.54779,                 1.0665,              0.0065102,              0.0065102,              0.0065102
                    143,                 1.2098,                0.67677,                 1.0572,                0.85499,                0.74042,                0.82872,                 0.5073,                 1.1537,                0.54865,                 1.0676,              0.0064855,              0.0064855,              0.0064855
                    144,                 1.2159,                0.67485,                 1.0572,                0.85352,                0.74058,                0.82854,                0.50464,                 1.1522,                 0.5496,                  1.068,              0.0064608,              0.0064608,              0.0064608
                    145,                 1.2071,                0.68121,                 1.0586,                 0.8488,                0.74068,                 0.8279,                0.50531,                 1.1519,                0.54965,                 1.0676,               0.006436,               0.006436,               0.006436
                    146,                 1.2203,                0.68364,                 1.0652,                0.84898,                0.74052,                0.82769,                0.50743,                 1.1493,                0.54915,                 1.0686,              0.0064112,              0.0064112,              0.0064112
                    147,                 1.1924,                0.67198,                 1.0617,                0.84838,                0.74204,                0.82681,                0.50786,                 1.1502,                0.54647,                 1.0674,              0.0063865,              0.0063865,              0.0063865
                    148,                 1.1937,                0.66588,                  1.053,                0.86498,                0.73828,                0.82876,                 0.5078,                 1.1514,                0.54592,                 1.0672,              0.0063618,              0.0063618,              0.0063618
                    149,                 1.2003,                0.66803,                 1.0639,                0.86373,                 0.7371,                0.82916,                 0.5088,                 1.1511,                0.54877,                 1.0671,               0.006337,               0.006337,               0.006337
